0	18	338
4	25	379
0	14	444
1	14	474
21	19	483
2	18	484
19	4	496
24	19	498
14	1	499
17	3	508
0	13	512
22	4	517
19	0	518
17	0	525
7	22	526
13	0	527
7	18	528
15	20	539
2	22	540
1	10	542
15	11	549
10	21	553
4	19	560
18	1	563
14	24	565
10	20	567
8	24	570
14	6	571
10	21	575
2	17	576
9	5	577
25	4	579
19	2	582
13	24	584
2	14	586
17	20	588
9	5	591
9	2	593
20	9	595
18	4	597
19	23	598
18	1	599
20	17	603
22	1	606
17	3	611
14	3	612
23	10	616
5	15	617
2	12	619
1	9	621
17	0	623
4	8	624
12	11	625
1	18	626
11	17	627
12	16	628
19	3	630
16	14	635
16	4	636
10	5	637
23	9	638
16	17	639
15	5	645
23	19	646
22	3	648
6	17	653
15	16	654
5	14	655
17	11	656
15	6	657
24	9	659
22	15	660
11	17	661
3	18	662
1	9	664
14	20	665
15	6	666
3	19	668
17	5	673
15	20	674
1	24	676
18	7	677
0	9	681
3	10	682
20	17	683
5	23	686
8	22	687
23	10	688
24	8	695
18	23	696
8	20	697
9	5	699
16	22	700
3	20	701
19	7	702
15	4	703
19	11	704
24	19	707
14	16	708
18	3	709
14	3	712
18	15	713
4	16	715
18	1	716
0	12	718
1	13	720
2	17	721
15	1	722
2	21	726
0	9	730
23	17	731
12	7	732
7	17	740
9	7	742
9	4	744
21	13	747
10	22	749
4	9	750
24	17	751
1	17	753
17	16	754
20	2	756
2	17	757
18	23	760
3	23	763
7	17	765
20	11	767
3	25	769
10	6	770
13	1	771
23	4	772
7	15	776
21	10	777
15	23	778
5	23	779
4	23	780
5	17	781
0	13	783
1	19	786
21	15	787
9	0	790
21	13	791
6	19	793
11	12	795
7	22	796
21	2	797
12	17	798
20	0	799
3	16	801
6	22	802
8	1	803
8	17	804
6	18	806
5	18	808
12	21	809
12	24	810
23	2	811
11	1	812
24	19	814
24	10	815
8	25	816
13	5	818
12	2	819
25	7	820
8	4	821
13	3	828
11	17	829
0	9	831
24	2	832
18	16	833
12	5	834
20	15	839
6	14	840
9	0	841
6	15	845
22	20	847
25	7	848
8	25	849
3	18	850
17	5	851
23	14	852
21	15	854
9	7	855
4	22	856
2	14	857
25	11	860
20	2	861
7	21	862
20	19	863
10	25	865
14	11	869
16	4	871
15	3	872
16	15	875
3	14	876
2	9	877
3	21	879
7	16	880
5	10	881
14	7	882
5	20	883
0	23	884
14	18	885
0	22	886
8	24	887
3	25	888
11	10	889
3	8	890
20	10	891
11	14	893
21	22	894
18	2	895
5	11	897
18	12	899
15	20	900
20	5	901
11	0	904
20	15	906
1	8	910
9	5	911
16	3	913
8	24	914
17	24	915
23	14	916
13	3	917
1	14	918
2	14	919
25	7	920
19	20	922
19	4	923
25	1	924
5	10	926
18	8	927
8	20	929
10	7	931
4	18	932
11	14	936
18	0	937
14	20	938
13	6	940
18	4	942
25	10	943
3	20	944
0	13	946
4	20	947
8	2	948
2	11	949
12	20	950
22	24	951
20	2	952
18	7	954
14	0	955
10	3	956
4	15	957
12	2	958
10	11	959
12	24	960
21	4	961
18	0	962
5	14	963
19	21	965
3	18	967
8	20	969
19	9	971
9	6	972
20	1	974
12	3	975
20	19	976
0	11	977
12	18	978
17	21	979
15	24	980
18	2	981
16	9	983
13	22	984
20	17	985
4	8	986
2	16	987
17	10	988
14	19	992
9	21	993
0	22	994
16	25	996
11	4	997
3	24	998
2	8	1000
